标志,ID,人物,位置,内容,跳转,是否锁定,效果,目标
#,0,泰拉,右,……,1,否,,
#,1,泰拉,右,……哎……,2,否,,
#,2,泰拉,右,脑袋……好沉……,3,否,,
#,3,泰拉,右,又是那个梦……,4,否,,
#,4,泰拉,右,我……好像又梦见父亲和儿时的玩伴了……,5,否,,
#,5,泰拉,右,这次应该是地球时代的海边 上次甚至是在月球背面的山脊上,6,否,,
#,6,泰拉,右,真是离奇的梦 我到底沉睡了多久……啊 不好!明天是清理员任职报道的日子!,7,否,,
#,7,泰拉,右,身子好累……但是很多证件我还没有准备好,8,否,,
#,8,泰拉,右,要起床收拾一下吗?,9,否,,
&,9,泰拉,右,再睡会……,11,否,,
&,10,泰拉,右,起床收拾下吧!,12,否,,
#,11,泰拉,右,休息了一会 精神得到了滋养……,8,否,,
#,12,泰拉,右,我起!,13,否,,
END,13,,,,,否,,
#,14,泰拉,右,这是父亲留下的鱼缸,15,否,,
#,15,泰拉,右,他仿照着留存的资料和鱼类的DNA库，培养出了半生物的类鱼体,16,否,,
#,16,泰拉,右,这些小家伙一定没想到自己有一天能在虚空中游泳,17,否,,
#,17,泰拉,右,他们很顽强 只需要定期补充营养液 他们在眼前这颗恒星提供的热能下活得很好,18,否,,
#,18,泰拉,右,这可是星舰上为数不多的其他物种了,19,否,,
#,19,泰拉,右,小家伙离开地球一定很不适应,20,否,,
END,20,,,,,否,,
#,21,泰拉,右,现在要到走廊上去吗？,22,否,,
#,22,泰拉,右,算了,25,否,,
#,23,泰拉,右,刷下ID卡,24,是,,
#,24,泰拉,右,欸 ID卡不在口袋里？？我一定把它忘在屋子的某个角落了,25,否,,
END,25,泰拉,右,,,否,,
#,26,Mao,左,Memory Recorder系统启动中,27,否,,
#,27,泰拉,右,...??,28,否,,
#,28,泰拉,右,什么动静,29,否,,
#,29,Mao,左,您好 我是Mao!!初次见面 在下是西罗先生的MR系统,30,否,,
#,30,泰拉,右,你是父亲留下的的记忆体？,31,否,,
#,31,Mao,左,是的喵~现已检测到您今日已经成年，系统自动系统,32,否,,
#,32,泰拉,右,怪不得我之前怎么动你也没动静，原来是设置了检测,33,否,,
#,33,泰拉,右,还好没把你扔了……,34,否,,
#,34,Mao,左,。。。小的感谢大人不扔之恩！！,35,否,,
#,35,Mao,左,为了报答您，我现在就将西罗先生委托我的信息传输给你,36,否,,
#,36,Mao,左,这就是西罗先生的MR系统，现在交给您使用,37,否,,
#,37,Mao,左,您可以在这里存储遇到的所有信息,38,否,,
#,38,Mao,左,作为一名即将到任的文明清理员，记录和回调信息可是很重要的哦,39,否,,
#,39,Mao,左,除此之外，这里还存储有您随身携带的物品信息,40,否,,
#,40,Mao,左,可以切换小型武器，或者道具，在舰船内通行,41,否,,
#,41,Mao,左,如果有不懂的地方，可以查看星舰Wiki,42,否,,
#,42,Mao,左,或者向我提问,43,否,,
#,43,Mao,左,需要再讲解一遍吗？,44,否,,
&,44,泰拉,右,再讲解一遍吧,46,否,,
&,45,泰拉,右,我已经了解了,47,否,,
#,46,Mao,左,好的那我再讲一遍,36,否,,
#,47,Mao,左,好哦，有事再咨询猫猫我捏~,48,否,,
END,48,,,,,否,,
#,49,Mao,左,现在已经过了地球时0点 您的身份已经更新为清理员,50,否,,
#,50,Mao,左,ID卡刷新前是无法通过检测外出的,51,否,,
#,51,Mao,左,您要在读卡器刷新下ID，在个人PC登陆后刷新系统,52,否,,
#,52,泰拉,右,我的卡应该在我的口袋里,53,否,,
#,53,泰拉,右,好像不在我口袋里,54,否,,
#,54,Mao,左,因为我才刚刚启动，没有存储您之前的记忆,55,否,,
#,55,Mao,左,在四处找一下吧，之后再遇到这种情况就可以问我啦,56,否,,
#,56,泰拉,右,那我找一下,57,否,,
END,57,,,,,否,,
#,58,Mao,左,MR系统现在检测到你已经装备了镇定枪模组,59,否,,
#,59,Mao,左,可以尝试射击试试看,60,否,,
#,60,Mao,左,不同枪支的子弹会随机分布在星舰上,61,否,,
#,61,Mao,左,可以注意拾取,62,否,,
END,62,,,,,,,
#,63,泰拉,右,天鹅座NH558J2星系 是我们现在所处的星系,64,否,,
#,64,泰拉,右,眼前的这颗恒星 就是我们的“母星” 我们现在的太阳,65,否,,
#,65,泰拉,右,与温和的太阳系的太阳不同 这颗太阳要凶残的多,66,否,,
#,66,泰拉,右,就好比继母与继子 怎能对我们这些移民视如己出呢?,67,否,,
#,67,泰拉,右,它巨大的气旋吞噬着周遭的小行星们 将它们撕裂成碎片,68,否,,
#,68,泰拉,右,同时吸引了两颗气态行星的部分元素,69,否,,
#,69,泰拉,右,形成了强辐射且危险的小行星带,70,否,,
#,70,泰拉,右,辐射着在外工作的星舰公民们,71,否,,
END,71,,,,,,,
#,72,泰拉,右,这张是安定室的理疗券,73,否,,
#,73,泰拉,右,那些对外太空环境产生恐惧心理的人可以去这里治疗,74,否,,
#,74,泰拉,右,不知是基因遗传还是心理作用 舰员中偶尔会有对虚空产生反应的人,75,否,,
#,75,泰拉,右,一方面 老派的生物学家和关一帆博士认为这是人数万年生活在大地上的习惯,76,否,,
#,76,泰拉,右,先锋的心理学家和星舰的上层认为非也，这种恐惧是可以克服的,77,否,,
#,77,泰拉,右,我们从小就被送到飞船的顶楼上接受虚空抗性训练,78,否,,
#,78,泰拉,右,那是一个全玻璃的房间 身子被无限的宇宙包裹着 显得自己非常渺小,79,否,,
#,79,泰拉,右,在那里的孩子们被教育着 宇宙才是他们的家 漂泊是他们的归宿,80,否,,
END,80,,,,,否,,
#,81,泰拉,右,这是全舰广播的重要信息 每个恒星日都会自动更新,82,否,,
#,82,泰拉,右,地球世代的人们耗费了巨大财力 在蓝色空间好实现了全船联动的信息系统,83,否,,
#,83,泰拉,右,任何表面都可以被当作信息的载体,84,否,,
#,84,泰拉,右,这则通知的标题为：《谨防外部信号通知》,85,否,,
#,85,泰拉,右,自三体侵略和黑暗战役发生后,86,否,,
#,86,泰拉,右,人类对黑暗森林法则的重视程度越来越高,87,否,,
#,87,泰拉,右,这也是星舰文明的总则,88,否,,
END,88,,,,,否,,
#,89,泰拉,右,由于感光材料和显影药水的稀缺,90,否,,
#,90,泰拉,右,每个家庭只有一次冲洗合照的机会,91,否,,
#,91,泰拉,右,长时间的宇宙衰变 使得照片上的 面容早已模糊不清,92,否,,
